"","CON02_T1","CON05_T1","CON06_T1","CON07_T1","CON08_T1","CON09_T1","CON10_T1","CON11_T1","CON12_T1","CON13_T1","CON14_T1","CON17_T1","CON18_T1","CON19_T1","CON20_T1","CON21_T1","CON22_T1"
"ACSL3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSL3P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSL4",1009,1674,2128,1183,964,2088,1374,1408,1202,1155,1670,1544,2492,2805,799,1506,775
"ACSL5",1193,1488,1540,1543,1209,2261,971,960,913,1014,1175,1698,3086,2529,739,808,730
"ACSL6",178,243,277,219,230,380,183,130,141,171,126,325,489,383,116,110,72
"ACSL6-AS1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"ACSM1",13,11,13,27,19,38,10,7,18,13,10,11,33,14,15,10,9
"ACSM2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM3",162,113,120,125,145,289,108,48,98,120,196,168,336,276,92,53,93
"ACSM4",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"ACSM5",1,1,0,1,0,4,1,0,0,0,0,2,1,0,0,1,0
"ACSM5P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSS1",1511,1854,1682,2097,1436,3184,1236,1017,1445,1357,1954,2203,4079,3372,1216,1195,1066
"ACSS2",430,823,1082,901,528,824,595,699,521,543,680,648,1011,1228,599,582,482
"ACSS3",15,34,39,20,10,26,13,25,27,24,17,8,10,37,5,10,3
"ACSS3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTA1",1,3,1,0,9,3,0,0,0,0,4,1,4,3,1,2,0
"ACTA2",56,104,181,151,90,63,36,101,76,64,180,74,108,164,47,88,25
"ACTA2-AS1",7,14,12,2,6,20,7,0,3,4,16,21,38,29,6,4,2
"ACTB",137004,154080,227752,161560,105418,147205,93111,159279,116669,128769,167020,141142,237608,227547,110920,116273,85103
"ACTBL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTBP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTBP11",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"ACTBP12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTBP14",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"ACTBP15",1,0,0,3,2,2,1,3,0,0,3,1,0,3,0,0,0
"ACTBP16",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTBP2",5,4,8,2,2,9,9,10,3,5,4,12,6,7,3,1,1
"ACTBP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTBP7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACTBP8",24,131,61,0,0,0,0,0,55,0,50,29,38,137,8,1,0
"ACTBP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTE1P",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"ACTG1",39399,40427,58534,44570,32748,60044,29137,33991,27011,34879,35220,38736,70825,64577,29609,31335,25269
"ACTG1P1",1,4,1,2,4,8,0,0,1,0,4,2,7,7,0,1,1
"ACTG1P10",0,0,1,0,0,0,4,0,0,0,0,0,0,7,0,0,0
"ACTG1P11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACTG1P12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P14",1,3,3,5,4,4,8,1,3,5,4,3,4,10,4,0,3
"ACTG1P15",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"ACTG1P16",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACTG1P17",23,56,46,35,29,65,26,17,10,25,24,38,78,74,20,21,16
"ACTG1P18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P19",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ACTG1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P20",0,3,12,3,4,17,0,0,2,2,0,4,2,7,0,0,0
"ACTG1P21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P22",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ACTG1P23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P24",0,11,3,4,2,2,0,0,0,0,2,3,3,3,2,3,1
