Gene	GSM3288224_Sample_01-TI_Fe73	GSM3288229_Sample_03-TITD_Fe46	GSM3288232_Sample_04-TITD_Fe50	GSM3288235_Sample_05-TITD_Fe80	GSM3288238_Sample_06-TITD_Fe28	GSM3288241_Sample_07-TI_Fe77	GSM3288246_Sample_09-TITD_tripletC	GSM3288249_Sample_10-TI_tripletH	GSM3288252_Sample_11-TITD_tripletQ	GSM3288255_Sample_12-TITD_tripletW	GSM3288256_Sample_12-TITD_exTM_tripletW	GSM3288258_Sample_13-TITD_tripletS	GSM3288261_Sample_14-TI_tripletA	GSM3288264_Sample_15-TITD_tripletG	GSM3288268_Sample_16-TITD_tripletJ	GSM3288276_Sample_18-TI_tripletT
SRRM1	455	1015	635	1212	858	501	399	179	1080	324	763	1550	801	1160	1037	827
SRRM2	14024	6239	4340	8725	6047	6968	3480	1485	8834	4235	8079	7065	6941	8949	5392	6705
SRRM2-AS1	17	9	15	20	11	19	20	13	53	9	15	59	10	27	21	21
SRRM3	0	1	1	0	0	0	0	0	0	1	0	4	0	0	1	1
SRRM4	0	0	0	1	1	0	0	0	1	1	0	0	0	2	0	0
SRRM5	39	12	5	21	10	16	2	4	3	5	9	11	16	12	21	19
SRRT	7560	3318	2207	4864	2963	3263	3690	1942	6980	1663	3071	6480	4115	4877	4745	4080
SRSF1	4123	5543	3542	6704	4470	2717	1238	440	3587	1184	3265	5622	3155	5243	4198	3507
SRSF10	809	1656	1191	2343	1739	765	477	312	1607	941	2053	1835	1622	2487	2325	1965
SRSF11	860	2281	1580	3447	2098	873	709	364	1627	1155	2065	2822	1530	3139	2217	1761
SRSF12	0	6	0	10	6	24	10	10	25	10	16	48	9	13	4	10
